"Feature","Gain","Cover","Frequency"
"ged_best_sb",0.112033269069974,0.061351527371988,0.106455237203025
"ged_count_sb",0.0400541249334263,0.0297974212896269,0.0179562182470921
"imfweo_bca_ngdpd_tmin1",0.0360945765726547,0.00841654947770309,0.0687510440994867
"imfweo_bca_ngdpd_tcurrent",0.0354771279865113,0.00774839198845236,0.0963670251271754
"wdi_vc_btl_deth",0.0332743002089195,0.00671424332836738,0.00992836249168815
"reign_precip",0.0315025819417472,0.0193602806209964,0.0395542555038374
"reign_pctile_risk",0.0303251932832611,0.0230765893691533,0.0340957852774602
"imfweo_bca_ngdpd_tplus2",0.0295792368245535,0.0117098768712329,0.0561759917716771
"imfweo_ngdp_rpch_tplus1",0.0233809155082141,0.034299999988763,0.0231002302751182
"reign_tenure_months",0.0228025097626687,0.00370187273319876,0.0241130477223072
"imfweo_bca_ngdpd_tplus1",0.0225093781894088,0.0265972103886798,0.0379741030571233
"imfweo_ngdp_rpch_tplus2",0.0211836507812611,0.0178156270204722,0.0206468012067333
"imfweo_bca_tplus1",0.0195497576155784,0.00664729060158829,0.0320937347479585
"imfweo_ngdp_rpch_tcurrent",0.0194493329004151,0.0225287803664131,0.0208164776095936
"imfweo_bca_tmin1",0.0190197703764938,0.00757262507857149,0.028459777193264
"reign_irregular",0.0187507306112074,0.00799021693071794,0.0191118521260322
"reign_lastelection",0.0183563648418711,0.00500406415284255,0.0195252336326146
"imfweo_ngdpdpc_tplus2",0.0175446287261372,0.0442043167189537,0.0135505278639444
"reign_prev_conflict",0.0170338174298796,0.0172682049126053,0.00193260767736589
"imfweo_bca_tplus2",0.0165979590554229,0.0101336031492662,0.0226350941900572
"imfweo_ngdpdpc_tplus1",0.0163075897759208,0.0328392599035056,0.0172965111518014
"imfweo_lp_tcurrent",0.0154092864786819,0.00618814026594269,0.0197407685227343
"imfweo_bca_tcurrent",0.0150825325992528,0.00664625793365454,0.0182143360182386
"reign_loss",0.0143843581407367,0.00455749359020809,0.0128521686151064
"reign_couprisk",0.0136512853434196,0.010861626930522,0.0157288060087721
"imfweo_ngdpdpc_tmin1",0.0127118331555286,0.0230237938654384,0.0113827316590618
"imfweo_ngdp_d_tcurrent",0.0117825042607057,0.00600506502569872,0.0115995767916747
"ged_best_os",0.0113455946335552,0.0201860778573901,0.0138466426673917
"imfweo_lp_tmin1",0.0104466921192974,0.00482211119221253,0.0106411344079506
"imfweo_ngdpdpc_tcurrent",0.0100807472632165,0.0257693805317939,0.00859846636116179
"wdi_sm_pop_refg_or",0.00958653837379026,0.0323655426914006,0.00449806247891328
"vdem_e_migdpgro",0.00945828738551505,0.0167126537451773,0.00889785677084186
"ged_count_os",0.00897476664565421,0.0124224732194178,0.0101098310769866
"wdi_sl_tlf_totl_fe_zs",0.00862623177062253,0.0190008723526379,0.00423339349530114
"vdem_v2x_accountability",0.00823910145974215,0.00296086521516711,0.00409057706355004
"imfweo_ggb_ngdp_tmin1",0.00749976951514913,0.00208124691916288,0.00806323230271843
"wdi_ne_con_govt_kd_zg",0.00707141711368937,0.0240404113515792,0.00394251966182641
"wdi_eg_use_pcap_kg_oe",0.00703588599589463,0.00327894543006127,0.0032559525954266
"wdi_nv_srv_totl_zs",0.00703242951860932,0.0079888144368024,0.00371781307425472
"wdi_ms_mil_xpnd_gd_zs",0.00700187433760922,0.0121179272130493,0.00325267698919377
"ged_best_ns",0.00680853048577323,0.0150596909162573,0.00723253856207438
"vdem_v2x_clpol",0.00675994030106888,0.00249550607025041,0.00257266113525961
"imfweo_ggb_ngdp_tplus2",0.0067265811976364,0.00456260714561006,0.00817067218715504
"wdi_dt_nfl_uncf_cd",0.00665318598268006,0.0202868881528015,0.00394120941933328
"reign_age",0.00661678483022031,0.00456055318900354,0.00469066812540331
"wdi_ms_mil_totl_tf_zs",0.006088371294378,0.00750127426742441,0.00303779722032055
"wdi_dt_oda_odat_pc_zs",0.00605234466829879,0.00216888856480754,0.00401392787770197
"wdi_dt_nfl_wfpg_cd",0.00597098228189979,0.0114322214809629,0.00404406345504394
"vdem_v2xpe_exlpol",0.00586430206942366,0.012101104398101,0.0023093023941406
"wdi_ne_trd_gnfs_zs",0.0058151923529615,0.0135436732259842,0.00346100554560135
"wdi_sm_pop_totl_zs",0.00574838579558782,0.00423144362540649,0.00312558346736022
"wdi_fm_ast_cgov_zg_m3",0.0057081926249034,0.00210122463421732,0.00370012480059747
"wdi_ag_lnd_frst_k2",0.00568549491361947,0.0139370443211391,0.00279671260158474
"wdi_sh_dth_nmrt",0.00564420016892679,0.0161880797709465,0.00217303717485514
"wdi_ag_lnd_agri_k2",0.00561469365534842,0.00291883306992976,0.0024409817647001
"wdi_eg_fec_rnew_zs",0.00553391462590601,0.0119363426559934,0.00272006341573667
"wdi_sp_pop_totl",0.00533984398398838,0.0033065828101615,0.00169872939234229
"wdi_en_atm_co2e_pp_gd",0.00530499638769361,0.0180215788425048,0.00291463442596639
"wdi_fi_res_xgld_cd",0.00525579680502211,0.00754258098477442,0.00230078581793525
"wdi_sp_rur_totl",0.00525035312445878,0.0127681239612539,0.00217893326607422
"vdem_v2x_genpp",0.00514078055239054,0.00719923596569393,0.00275675020554429
"wdi_st_int_rcpt_xp_zs",0.00509193441950375,0.00879671351808539,0.0025634894378077
"wdi_ag_lnd_agri_zs",0.00504627640818525,0.00278019953343522,0.00258445331769777
"wdi_fm_lbl_bmny_gd_zs",0.00497434466334815,0.0217722216658475,0.0029218407596786
"wdi_ag_lnd_arbl_ha_pc",0.00494920908196529,0.00366799951808261,0.00338108075352046
"wdi_eg_gdp_puse_ko_pp_kd",0.00492695068894134,0.00904620808225012,0.00269058295964126
"wdi_ag_lnd_crel_ha",0.00486870046621515,0.00388243742398947,0.00234926479018104
"wdi_sp_urb_totl",0.00482991684935617,0.00321082206180906,0.00128600300700652
"wdi_se_prm_uner",0.00464158057695572,0.0164581281252527,0.00234533406270165
"wdi_en_atm_co2e_pc",0.00428454351968827,0.0187730510134133,0.00236826330633142
"wdi_se_prm_enrl",0.00410527354431849,0.00630862245876975,0.00173803666713617
"wdi_fm_ast_doms_cn",0.00388301304398498,0.0085881373539898,0.00220120738845742
"wdi_ic_frm_femo_zs",0.00384844544304243,0.011813930256023,0.00153494908070111
"wdi_nv_agr_empl_kd",0.00382738562856503,0.0135686649279071,0.00187168140143537
"wdi_sl_emp_smgt_fe_zs",0.00377257692637767,0.00699224151887428,0.00141899262005916
"ged_count_ns",0.00301531716763319,0.00615647036023339,0.00399754984653785
"wdi_sp_pop_tech_rd_p6",0.00273365776158258,0.00508320833535191,0.00145240380363396
"wdi_sp_pop_totl_fe_in",0.00198240983123631,0.00239461185278929,0.000566679878278472
"ces_p12_violence",0.00168814549013085,0.00166221274568747,0.000303976258406025
"wdi_sp_reg_dths_zs",0.00165077626776065,0.00159809203248427,0.00103443644832567
"ces_confidence_p12_violence_25brd_tlag6",0.00130559678131289,0.00080394621050077,0.000332801593254872
